Column 1	VIAF-ID-Per	VIAF-ID-names	org	Column 3	Column 4	VIAF-ID-Cor	Column 5
Gastech LNG &amp; LPG Conference. (10th : 1984 : Amsterdam, Holland)			Meeting	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Gastech%20LNG%20&amp;%20LPG%20Conference.%20(10th%20:%201984%20:%20Amsterdam, %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Holland)	http://example.org/1002810#Agent111-10		
Gastech Ltd.		125525772	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Gastech%20Ltd.	http://example.org/1002810#Agent710-25	125525772	
Ecole polytechnique (France). Centre de recherche sur l'épistémologie et l'autonomie.		123958106	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Ecole%20polytechnique%20(France).%20Centre%20de%20recherche%20sur %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20l'épistémologie%20et%20l'autonomie.	http://example.org/1383488#Agent710-21	123958106	
Knox, Wilfred L. (Wilfred Lawrence), 1886-1950	40847054	40847054	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22White,%20D.%20W.%20R.	http://example.org/1309985#Agent700-22		
New Zealand. Dept. of Scientific and Industrial Research--Officials and employees	315682794	136037882	Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22New%20Zealand.%20Dept.%20of%20Scientific%20and%20Industrial %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Research.	http://example.org/1309985#Agent710-23	136037882	
EUCARPIA Meeting of the Cereal Section on Triticale (1984 : Clermont-Ferrand, France)			Meeting	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22EUCARPIA%20Meeting%20of%20the%20Cereal%20Section%20on%20Triticale%20(1984%20: %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Clermont-Ferrand,%20France)	http://example.org/1359151#Agent111-10		
Thomas, Aquinas, Saint, 1225?-1274	100910150	100910150	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Bernard,%20S.	http://example.org/1359151#Agent700-22	139078173	
Rousseau, Jean-Jacques, 1712-1778.	100184045	100184045	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Bernard,%20M.%20(Michel)	http://example.org/1359151#Agent700-23	264701647	
Chisci, G.	54232719	131952929	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Eucarpia.	http://example.org/1359151#Agent710-24	131952929	
Scholl, David W.	66802084	66802084	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Scholl,%20David%20W.	http://example.org/1319655#Agent700-24		
Vallier, Tracy L. 1936-	40622343	40622343	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Vallier,%20T.%20L.%20(Tracy%20L.)	http://example.org/1319655#Agent700-25		
Circum-Pacific Council for Energy and Mineral Resources.		133533536	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Circum-Pacific%20Council%20for%20Energy%20and%20Mineral %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Resources.	http://example.org/1319655#Agent710-26	133533536	
Compton, Robert Harold	14863459	14863459	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Compton,%20Robert%20R.	http://example.org/1350201#Agent100-13		
