Column 1	VIAF-ID	score	Column 2	Column 3	Column 4	LCID
Thompson, Susan, 1966-	105681016	1	Person		http://example.org/6675253#Agent700-26	
Routt, Gregory	306381732	1	Person		http://example.org/6702108#Agent100-20	http://id.loc.gov/authorities/names/n2014010945
Anderson, Lily	306381733	1	Person		http://example.org/6702108#Agent700-34	http://id.loc.gov/authorities/names/n2014010946
Wu, Huiying	314900926	1	Person		http://example.org/6808729#Agent700-32	
Patel, Chris	278807344	1	Person		http://example.org/6808729#Agent700-33	
Cortman, Christopher	100665180	1	Person		http://example.org/6809321#Agent100-18	http://id.loc.gov/authorities/names/n2009056874
Shinitzky, Harold	100665200	1	Person		http://example.org/6809321#Agent700-33	http://id.loc.gov/authorities/names/n2009056876
O'Connor, Laurie-Ann	311768696	1	Person		http://example.org/6809321#Agent700-34	http://id.loc.gov/authorities/names/n2014072415
Daniel, Sarah (Sarah Ingrid)	306382685	1	Person		http://example.org/6704099#Agent100-21	http://id.loc.gov/authorities/names/n2014180918
Daniel, Sarah (Sarah Ingrid)	306382685	1	Person		http://example.org/6799208#Agent100-17	http://id.loc.gov/authorities/names/n2014180918
Cooper, Kim (Kim D.)	308757707	1	Person		http://example.org/6755332#Agent700-37	http://id.loc.gov/authorities/names/n2014184748
Gosnell, Kelly	233483803	1	Person		http://example.org/6755332#Agent700-38	http://id.loc.gov/authorities/names/no2012030435
Smith, Ben			Person		http://example.org/6809179#Agent100-16	http://id.loc.gov/authorities/names/n84220454
Annuzzi, Joseph, Jr	305197928	0.95	Person		http://example.org/6752405#Agent100-18	http://id.loc.gov/authorities/names/n2013055750
Darcey, Lauren, 1977-	91041117	0.875	Person		http://example.org/6752405#Agent700-34	http://id.loc.gov/authorities/names/n2009043064
Conder, Shane, 1975-	91041101	0.8695652173913043	Person		http://example.org/6752405#Agent700-35	http://id.loc.gov/authorities/names/n2009043063
Goolsby, Mary Jo	14137256	1	Person		http://example.org/6790622#Agent700-27	http://id.loc.gov/authorities/names/n2002135323
Grubbs, Laurie, 1951-	1887275	1	Person		http://example.org/6790622#Agent700-28	http://id.loc.gov/authorities/names/n2005182107
"International Symposium ""Advanced Composites for Aerospace, Marine, and Land Applications"" (2nd : 2015 : Orlando, Florida)"			Meeting		http://example.org/6855798#Agent111-17	
Sano, Tomoko	308236363	0.9230769230769231	Person		http://example.org/6855798#Agent700-30	http://id.loc.gov/authorities/names/nb2014009887
Srivatsan, T. S	44535833	0.8666666666666667	Person		http://example.org/6855798#Agent700-31	http://id.loc.gov/authorities/names/n92011336
Minerals, Metals and Materials Society. Annual Meeting (144th : 2015 : Orlando, Florida)			Organization		http://example.org/6855798#Agent710-32	http://id.loc.gov/authorities/names/nb2015010275
Emadi, Ali	297118746	1	Person		http://example.org/6748943#Agent100-14	http://id.loc.gov/authorities/names/no2004035495
Verveer, Peter J	313312700	0.9411764705882353	Person		http://example.org/6799511#Agent700-39	http://id.loc.gov/authorities/names/nb2015001603
Carcio, Helen Nelson	70342821	1	Person		http://example.org/6789520#Agent100-15	http://id.loc.gov/authorities/names/n84209226
Secor, Mimi Clarke	103495317	1	Person		http://example.org/6789520#Agent700-26	http://id.loc.gov/authorities/names/n2009185063
Cabrera, Carlos R	311116523	0.9444444444444444	Person		http://example.org/6677817#Agent700-27	http://id.loc.gov/authorities/names/no2014132415
