s,m
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8t/05/44558t05b,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8t/06/44558t06m,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8t/07/44558t07w,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8t/08/44558t085,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8t/09/44558t09f,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8t/10/44558t106,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8t/11/44558t11g,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8t/12/44558t12r,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8t/13/44558t131,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8t/14/44558t149,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8t/15/44558t15k,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8t/16/44558t16v,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8t/17/44558t174,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8t/18/44558t18d,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8t/19/44558t19p,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8t/20/44558t20f,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/44/55/8t/21/44558t21q,IRCollection
