olac - dc:contributor	olac - dc:identifier
Pallett, D.S.	LDC93S3C
Hemphill, Charles T.	LDC93S4A
Godfrey, John J.	LDC93S4A
Doddington, George R.	LDC93S4A
Garofolo, John S.	LDC93S4A
Fiscus, Jonathan G.	LDC93S4A
Hemphill, Charles T.	LDC93S4B
Godfrey, John J.	LDC93S4B
Doddington, George R.	LDC93S4B
Garofolo, John S.	LDC93S4B
Fiscus, Jonathan G.	LDC93S4B
Dahlgren, Nancy	LDC93S4B
Fisher, William	LDC93S4B
Tjaden, Brett	LDC93S4B
Pallett, David	LDC93S4B
Hemphill, Charles T.	LDC93S4B-2
Godfrey, John J.	LDC93S4B-2
Doddington, George R.	LDC93S4B-2
Garofolo, John S.	LDC93S4B-2
Fiscus, Jonathan G.	LDC93S4B-2
Dahlgren, Nancy	LDC93S4B-2
Fisher, William	LDC93S4B-2
Tjaden, Brett	LDC93S4B-2
Pallett, David	LDC93S4B-2
Hemphill, Charles T.	LDC93S4B-3
Godfrey, John J.	LDC93S4B-3
Doddington, George R.	LDC93S4B-3
Garofolo, John S.	LDC93S4B-3
Fiscus, Jonathan G.	LDC93S4B-3
Dahlgren, Nancy	LDC93S4B-3
Fisher, William	LDC93S4B-3
Tjaden, Brett	LDC93S4B-3
Pallett, David	LDC93S4B-3
Garofolo, John S.	LDC93S5
Fiscus, Jonathan G.	LDC93S5
Hunicke-Smith, Kate	LDC93S5
Danielson, Denise	LDC93S5
Shriberg, Elizabeth	LDC93S5
Bocchieri, Enrico	LDC93S5
Buntschuh, Bruce	LDC93S5
Schwartz, Beverly	LDC93S5
Peters, Sandra	LDC93S5
Ingria, Robert	LDC93S5
Weide, Robert	LDC93S5
Chang, Yuzong	LDC93S5
Thayer, Eric	LDC93S5
Hirschman, Lynette	LDC93S5
Polifroni, Joe	LDC93S5
Lund, Bruce	LDC93S5
Kawai, Goh	LDC93S5
Kuhn, Tom	LDC93S5
Norton, Lew	LDC93S5
Dahl, Deborah	LDC93S5
Bates, Madeleine	LDC93S5
Brown, Michael	LDC93S5
Rudnicky, Alexander	LDC93S5
Pallett, David	LDC93S5
Garofolo, John S.	LDC93S6A
Graff, David	LDC93S6A
Paul, Doug	LDC93S6A
Pallett, David	LDC93S6A
Garofolo, John S.	LDC93S6B
Graff, David	LDC93S6B
Paul, Doug	LDC93S6B
Pallett, David	LDC93S6B
Garofolo, John S.	LDC93S6C
Graff, David	LDC93S6C
Paul, Doug	LDC93S6C
Pallett, David	LDC93S6C
Godfrey, John J.	LDC93S8
Holliman, Ed	LDC93S8
Liberman, Mark	LDC93S9
Amsler, Robert	LDC93S9
Church, Ken	LDC93S9
Fox, Ed	LDC93S9
